article_id,article_name,total_demand,demand_satisfied_from_stock,achieved_fill_rate,target_fill_rate,slow_mover,purchasing_cost,holding_cost,total_cost
1111,Puzzles,92,92,1.0,0.875,true,20681.303999999982,70.39963531827524,20751.703635318256
1126,Table paper,3940,3940,1.0,0.5,false,88172.78399999999,2187.10872443532,90359.89272443531
1127,Table paper,16478,16478,1.0,0.9921875,false,76771.989,239.65758850102645,77011.64658850103
1129,Kitchen tools,5969,5969,1.0,0.9921875,false,414957.7950000001,1607.19625995893,416564.991259959
1131,Bicycle accessories,5319,5319,1.0,0.984375,false,87591.63,482.99951704312105,88074.62951704313
1134,Ironing boards,4323,4323,1.0,0.9375,false,1379114.1769999992,11013.378861601646,1390127.555861601
1135,"Cloths, mops, sponges and brush",9812,9812,1.0,0.99951171875,false,116772.31999999999,588.4603268993837,117360.78032689937
1136,Kitchen textile,9291,9291,1.0,0.9375,false,103224.86999999997,1958.068977412731,105182.93897741269
1137,Table textiles,2134,2134,1.0,0.984375,false,70971.796,447.26217987679655,71419.0581798768
1138,Table textiles,1839,1839,1.0,0.984375,false,52524.696,347.43578069815175,52872.13178069815
1139,Table textiles,1671,1671,1.0,0.984375,false,65172.282,339.8203355236138,65512.10233552361
1141,Bath textiles and bath mats,40275,40275,1.0,0.5,false,98303.65999999999,1379.5639240246408,99683.22392402463
1151,Outdoor toys,1211,1211,1.0,0.75,true,122611.29299999998,745.4461531827528,123356.73915318273
1162,Light bulbs,3278,3278,1.0,0.9375,false,31161.262999999995,57.89528665297743,31219.15828665297
1164,Batteries,72564,71029,0.9788462598533708,0.9999999990686774,false,1241404.9549999994,4330.9449092402465,1245735.8999092397
1166,Batteries,23330,23330,1.0,0.9921875,false,348647.8869999998,727.0245104722788,349374.91151047207
1167,Batteries,59284,59284,1.0,0.984375,false,1830331.6569999994,2659.844551129365,1832991.5015511287
1170,Tableware,2968,2968,1.0,0.99993896484375,false,35387.31000000001,287.88009117043134,35675.19009117044
1171,Stairs,9932,6551,0.6595851792186871,0.9999999990686774,false,1634195.4719999984,6830.558747433254,1641026.0307474318
1172,"Cloths, mops, sponges and brush",22256,20637,0.9272555715312725,0.9999999990686774,false,654029.446,3950.6742759753606,657980.1202759753
1173,Racks and pockets,14647,14505,0.9903051819485219,0.9999999990686774,false,246920.142,11041.043724024632,257961.18572402463
1174,Store kitchen,3367,3367,1.0,0.9375,false,820772.7709999998,10823.675621765904,831596.4466217657
1178,Baskets,7854,7854,1.0,0.9999961853027344,false,154287.54600000003,593.8005449691985,154881.34654496922
1180,Construction,744,744,1.0,0.875,true,40453.16799999999,361.2463236139632,40814.41432361396
1182,Laundry baskets,15616,15616,1.0,0.9375,false,965371.3440000002,27549.738646406586,992921.0826464067
1183,Baskets,6644,6644,1.0,0.99609375,false,85703.59700000001,272.35295277207393,85975.94995277208
1184,Baskets,7237,7237,1.0,0.875,false,49629.88799999999,333.35339630390115,49963.24139630389
1186,Cleaning products,612,612,1.0,0.75,true,26867.609999999997,708.022114989733,27575.63211498973
1187,Suitcases,691,691,1.0,0.99993896484375,false,120238.50299999997,721.1082887063656,120959.61128870634
1188,Cleaning products,6544,6544,1.0,0.999755859375,false,237611.57,1234.003437371663,238845.57343737167
1189,Wash treatment and accessories,308,308,1.0,0.5,false,1271904.1230000013,5702.19610472278,1277606.319104724
1191,Cleaning products,39534,39534,1.0,0.875,false,498806.40599999984,17676.295152361407,516482.70115236123
1201,Electric personal care,10934,10934,1.0,0.998046875,false,410766.3140000003,556.9360123203276,411323.25001232064
1202,Kitchen appliances,308,308,1.0,0.5,false,108538.23399999998,1965.019813552362,110503.25381355235
1205,Kitchen tools,32617,32617,1.0,0.99609375,false,248694.90799999994,1581.0223055441472,250275.93030554408
1209,Cooking pans,13941,13656,0.9795567032494082,0.9999999990686774,false,561038.9400000001,7505.100118275159,568544.0401182752
1218,Personal care,7639,7639,1.0,0.96875,false,30155.663999999986,118.80666776180696,30274.470667761794
1243,Photo frames & albums,17610,17610,1.0,0.984375,false,126346.633,236.07094948665292,126582.70394948665
1245,Clocks,11810,11810,1.0,0.984375,false,115583.27200000001,3554.0370965092434,119137.30909650926
1248,Coffee makers and kettles,22220,22220,1.0,0.998046875,false,4726193.9969999995,98053.9279022587,4824247.924902258
1253,Frying pans,5926,5926,1.0,0.9921875,false,116719.74299999997,365.38718439425037,117085.13018439422
1262,Construction,274,274,1.0,0.5,true,5039.874000000001,82.26009609856263,5122.1340960985635
1272,Hobby and creative,16598,16598,1.0,0.5,false,625556.7500000002,11859.738227926067,637416.4882279263
1282,Table paper,17848,17848,1.0,0.5,false,710347.4420000004,14129.37100739221,724476.8130073926
1283,Measuring and weighing,17922,17922,1.0,0.5,false,11340318.451,1114430.7283441485,12454749.179344147
1284,Ironing boards,5848,5848,1.0,0.75,false,1347906.2519999994,16944.171882135528,1364850.423882135
1286,Ironing boards,16453,16453,1.0,0.984375,false,436441.39000000013,15177.280468172488,451618.67046817264
1288,Drying racks,4537,4537,1.0,0.5,false,718091808.0209999,183267853.881224,901359661.902224
1289,Bicycle accessories,5244,5244,1.0,0.998046875,false,253684.11599999998,1183.666095277207,254867.7820952772
1290,Window and squeegees,50817,45143,0.8883444516598776,0.9999999990686774,false,1257923.2119999994,15841.203537576986,1273764.4155375764
1293,Table textiles,904,904,1.0,0.984375,false,42208.31999999999,388.2279917864475,42596.54799178644
1294,Bed textile,3886,3148,0.8100874935666496,0.9999999990686774,false,320953.5279999999,5563.977482546199,326517.50548254605
1296,Bath textiles and bath mats,26880,26880,1.0,0.5,false,435195.94999999995,8489.215488706375,443685.1654887063
1304,Tableware,5563,5563,1.0,0.984375,true,180800.23500000002,1651.7121375770014,182451.94713757702
1307,Suitcases,491,491,1.0,0.9375,false,185513.167,607.3056176591376,186120.47261765914
1314,Dishwashing articles,284,284,1.0,0.5,false,124147.64599999996,4414.16959671458,128561.81559671454
1316,Cutlery,2105,2105,1.0,0.96875,false,4599.685999999999,17.408701026694043,4617.094701026693
1318,Foods,634,634,1.0,0.75,false,29851.814999999966,77.25028090349078,29929.06528090346
1321,Vases,434,434,1.0,0.75,false,22977.150000000005,145.93068172484604,23123.080681724852
1322,"Glasses (drink, beer, wine etc)",417,417,1.0,0.5,false,12106.919999999996,43.53620533880908,12150.456205338805
1327,Tableware,4841,4841,1.0,0.9375,false,30283.708,82.09356509240246,30365.801565092403
1330,Cutlery,2487,2487,1.0,0.9921875,false,33926.92799999999,113.095461190965,34040.023461190955
1333,Cutlery,418,418,1.0,0.9375,true,4269.901999999999,25.917236960985605,4295.819236960985
1334,Hobby and creative,1836,1836,1.0,0.875,true,10735.493999999995,63.40167351129354,10798.895673511288
1337,Hobby and creative,6390,6390,1.0,0.75,false,181248.14399999994,6308.514374537993,187556.65837453795
1340,Games,5073,5073,1.0,0.875,true,130399.11499999999,535.9131609856263,130935.02816098562
1347,Stuffed animals,3581,3581,1.0,0.96875,false,41647.51500000001,250.79405667351145,41898.30905667352
1352,Hobby and creative,252,252,1.0,0.5,true,29666.0,755.4919466119092,30421.49194661191
1356,"Glasses (drink, beer, wine etc)",8720,8720,1.0,0.9990234375,false,126199.35999999996,788.1076057494865,126987.46760574944
1357,"Glasses (drink, beer, wine etc)",1325,1325,1.0,0.9375,false,33957.462,180.58659794661202,34138.04859794661
1361,Light bulbs,1538,1538,1.0,0.96875,false,16531.430999999993,85.03107556468164,16616.462075564676
1362,Batteries,114318,114318,1.0,0.75,false,1068546.7800000003,15479.954833675565,1084026.734833676
1368,"Glasses (drink, beer, wine etc)",5144,5144,1.0,0.9375,false,53304.23699999997,126.85897330595475,53431.09597330593
1369,"Glasses (drink, beer, wine etc)",1827,1827,1.0,0.9921875,true,17722.956999999995,161.0640262833672,17884.02102628336
1373,Wash treatment and accessories,8522,8522,1.0,0.998046875,false,28439.208,179.44359425051323,28618.65159425051
1378,Drink & food To Go,7829,7829,1.0,0.9999847412109375,false,274009.1899999999,1687.0465823408647,275696.23658234073
1379,Window and squeegees,74989,68759,0.9169211484351039,0.9999999990686774,false,419778.61800000054,969.6200981519503,420748.2380981525
1380,Window and squeegees,115118,101479,0.8815215691725012,0.9999999990686774,false,4225565.8900000015,11904.910521560585,4237470.800521562
1382,Others,3977,3977,1.0,0.96875,false,117132.932,998.6167400410674,118131.54874004106
1383,Table textiles,36285,36285,1.0,0.999969482421875,false,531634.9079999999,6736.07966406571,538370.9876640657
1384,Baskets,2516,2516,1.0,0.875,false,214763.05900000004,3100.6370579055433,217863.6960579056
1389,Tea and coffee,2698,2698,1.0,0.875,true,54363.77099999998,196.44217864476366,54560.21317864474
1393,Kitchen helpers,9099,9099,1.0,0.9999995231628418,false,190838.3399999999,1175.050386036959,192013.39038603686
1397,Tableware,8845,8845,1.0,0.5,false,56511.455,1750.8608160164274,58262.31581601643
1399,Store kitchen,40,40,1.0,0.5,true,229798.74400000006,604.2022028747422,230402.9462028748
1403,Mugs and cups,25804,6770,0.2623624244303209,0.9999999990686774,false,609241.2970000003,13540.184037371668,622781.4810373719
1433,Puzzles,9388,7941,0.8458670643374521,0.9999999990686774,true,508047.7779999999,18502.805770020608,526550.5837700205
1438,Measuring and weighing,45133,45133,1.0,0.5,false,585828.936,112850.16290759755,698679.0989075976
1440,"TV, Audio & Video",13952,13952,1.0,0.875,true,872516.4700000004,1456.1363059548266,873972.6063059552
1444,Planks,19061,19061,1.0,0.75,false,1062187.1679999996,31250.80062094455,1093437.968620944
1445,Kitchen tools,8382,8382,1.0,0.9990234375,false,437459.91799999966,2641.3210533880874,440101.2390533877
1446,Cutlery trays,45371,45371,1.0,0.984375,false,2441194.1399999983,2404.2833852156064,2443598.423385214
1448,Store kitchen,9369,9369,1.0,0.984375,false,288855.79799999984,1045.0146258726897,289900.81262587255
1449,Drying racks,2043,2043,1.0,0.9375,true,185068.835,750.7109351129358,185819.54593511292
1451,Foils and bags,165,165,1.0,0.5,true,12602.869999999999,558.6695975359341,13161.539597535933
1453,Bathroom accessories,35159,35159,1.0,0.9990234375,false,646748.5849999998,11147.10992607803,657895.6949260778
1456,Baskets,2884,2884,1.0,0.984375,false,42423.50000000001,302.5933552361394,42726.093355236146
1458,Baskets,8054,8054,1.0,0.75,false,31074.288,143.58317207392187,31217.871172073923
1460,Baskets,10458,10458,1.0,0.9921875,false,86649.46500000001,219.96278234086213,86869.42778234088
1461,Baskets,12061,12061,1.0,0.984375,false,153262.34,265.45891581108833,153527.7989158111
1462,Storage boxes,6753,6753,1.0,0.984375,false,659909.8519999994,1393.2473256673518,661303.0993256667
1463,Bed textile,734,734,1.0,0.5,true,49491.119999999995,2136.950892813141,51628.070892813135
1466,Cleaning products,6666,6666,1.0,0.9999995231628418,false,318545.97600000026,1067.2930529774126,319613.2690529777
1468,Cleaning products,5087,5087,1.0,0.99609375,false,154296.39400000006,624.0861958932244,154920.4801958933
1469,Cleaning products,84368,50144,0.594348568177508,0.9999999990686774,true,1972559.3090000004,86232.68105872691,2058791.9900587273
