article_id,article_name,target_fill_rate,realized_fill_rate,total_demand,filled_demand,lost_sales,avg_on_hand,orders_placed,units_ordered,avg_R,Q
1111,Puzzles,0.998951416015625,1.0,92,92,0,34.87292817679558,95,95,30.486187845303867,1
1126,Table paper,0.998951416015625,1.0,3940,3940,0,3942.657458563536,3,3024,3632.6685082872928,1008
1127,Table paper,0.998951416015625,1.0,16478,16478,0,797.7790055248619,16,16128,898.0386740331492,1008
1129,Kitchen tools,0.998951416015625,0.9969844195007539,5969,5951,18,314.6795580110497,11,5720,144.4585635359116,520
1131,Bicycle accessories,0.998951416015625,1.0,5319,5319,0,611.1933701657458,5,4800,315.38121546961327,960
1134,Ironing boards,0.998951416015625,1.0,4323,4323,0,389.10497237569064,198,4356,539.4088397790056,22
1135,"Cloths, mops, sponges and brush",0.998951416015625,1.0,9812,9812,0,1284.342541436464,8,8000,1352.767955801105,1000
1136,Kitchen textile,0.998951416015625,1.0,9291,9291,0,1882.8121546961327,26,12480,6374.149171270718,480
1137,Table textiles,0.998951416015625,1.0,2134,2134,0,198.5303867403315,7,2016,124.77900552486187,288
1138,Table textiles,0.998951416015625,1.0,1839,1839,0,187.4696132596685,6,1728,118.59116022099448,288
1139,Table textiles,0.998951416015625,1.0,1671,1671,0,200.81767955801104,6,1728,120.16022099447514,288
1141,Bath textiles and bath mats,0.998951416015625,1.0,40275,40275,0,8805.342541436465,23,41400,21660.651933701658,1800
1151,Outdoor toys,0.998951416015625,1.0,1211,1211,0,560.6519337016574,1319,1319,602.9668508287293,1
1162,Light bulbs,0.998951416015625,1.0,3278,3278,0,399.58011049723757,22,3300,450.91160220994476,150
1164,Batteries,0.998951416015625,0.9441458574499751,72564,68511,4053,1538.513812154696,107,69550,3838.6187845303866,650
1166,Batteries,0.998951416015625,0.9984140591513073,23330,23293,37,714.0386740331492,39,23400,1303.2707182320441,600
1167,Batteries,0.998951416015625,0.9878044666351798,59284,58561,723,1270.867403314917,108,60480,3285.745856353591,560
1170,Tableware,0.998951416015625,1.0,2968,2968,0,482.11049723756906,62,2976,564.7734806629834,48
1171,Stairs,0.998951416015625,0.7090213451469995,9932,7042,2890,295.4088397790055,212,6996,376.7292817679558,33
1172,"Cloths, mops, sponges and brush",0.998951416015625,0.9830607476635514,22256,21879,377,685.7624309392265,61,20496,2795.1215469613257,336
1173,Racks and pockets,0.998951416015625,1.0,14647,14647,0,12233.756906077348,1,7200,10261.337016574586,7200
1174,Store kitchen,0.998951416015625,1.0,3367,3367,0,1358.132596685083,28,3024,1500.9171270718232,108
1178,Baskets,0.998951416015625,0.9980901451489687,7854,7839,15,269.83977900552486,22,7920,209.15469613259668,360
1180,Construction,0.998951416015625,1.0,744,744,0,246.86740331491714,777,777,296.76243093922653,1
1182,Laundry baskets,0.998951416015625,0.7764472336065574,15616,12125,3491,424.3867403314917,191,12224,546.5966850828729,64
1183,Baskets,0.998951416015625,1.0,6644,6644,0,265.37016574585635,18,6480,183.5414364640884,360
1184,Baskets,0.998951416015625,1.0,7237,7237,0,992.6077348066299,26,7280,2333.3646408839777,280
1185,Table textiles,0.998951416015625,1.0,8800,8800,0,12189.209944751381,10341,10341,16699.32044198895,1
1186,Cleaning products,0.998951416015625,1.0,612,612,0,887.9337016574585,0,0,172.22651933701658,864
1187,Suitcases,0.998951416015625,0.9971056439942113,691,689,2,76.65193370165746,31,651,89.56353591160222,21
1188,Cleaning products,0.998951416015625,0.9839547677261614,6544,6439,105,383.8453038674033,12,5976,365.27624309392263,498
1189,Wash treatment and accessories,0.998951416015625,1.0,308,308,0,8359.729281767955,0,0,7787.795580110497,480
1191,Cleaning products,0.998951416015625,0.8789649415692822,39534,34749,4785,1457.5690607734807,74,35520,1758.6629834254143,480
1201,Electric personal care,0.998951416015625,0.9834461313334553,10934,10753,181,164.6243093922652,539,10780,331.1436464088398,20
1202,Kitchen appliances,0.998951416015625,1.0,308,308,0,1388.2265193370165,98,98,1300.5580110497237,1
1205,Kitchen tools,0.998951416015625,0.983689487077291,32617,32085,532,3426.232044198895,5,30240,961.8342541436464,6048
1209,Cooking pans,0.998951416015625,0.82877842335557,13941,11554,2387,831.3093922651934,116,12992,1238.5414364640883,112
1218,Personal care,0.998951416015625,1.0,7639,7639,0,1459.4198895027625,596,7152,1718.8453038674033,12
1243,Photo frames & albums,0.998951416015625,1.0,17610,17610,0,704.7624309392265,40,17600,1146.745856353591,440
1245,Clocks,0.998951416015625,1.0,11810,11810,0,4853.674033149171,3,11340,6648.4309392265195,3780
